username,date,time_in,time_out,time_break,is_home_office,created_at,daily_activity_attributes
pstolpa2,2023-12-13,09:00:00,13:00:00,00:00,No,2023-12-13 12:42:17.568,"{'project_name': 'Sales B2B', 'created_at': '2023-12-13 12:42:17.568000', 'time_spent': '04:00'}"
gleka,2023-12-13,09:10:00,13:10:00,00:00,Yes,2023-12-13 13:10:24.960,"{'project_name': 'DSE Tech', 'created_at': '2023-12-13 13:10:24.960000', 'time_spent': '04:00'}"
mpietraszko,2023-12-08,08:00:00,12:00:00,,Yes,2023-12-13 14:45:47.232,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-13 14:45:47.232000', 'time_spent': '04:00'}"
mpietraszko,2023-12-12,08:00:00,16:00:00,,No,2023-12-13 14:46:25.248,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-13 14:46:25.248000', 'time_spent': '08:00'}"
mkajo,2023-12-13,11:30:00,15:30:00,,Yes,2023-12-13 15:33:22.752,"{'project_name': 'DSE Quality', 'created_at': '2023-12-13 15:33:22.752000', 'time_spent': '04:00'}"
dsylari,2023-12-13,11:30:00,16:00:00,00:30,Yes,2023-12-13 16:01:24.096,"{'project_name': 'DSE Tech', 'created_at': '2023-12-13 16:01:24.096000', 'time_spent': '04:00'}"
desfandyari,2023-12-12,10:00:00,13:45:00,00:00,Yes,2023-12-13 16:37:37.056,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-13 16:37:37.056000', 'time_spent': '03:45'}"
desfandyari,2023-12-13,11:30:00,16:00:00,00:00,No,2023-12-13 16:39:12.960,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-13 16:39:12.960000', 'time_spent': '04:30'}"
mshchelkunov,2023-12-13,11:00:00,15:00:00,,Yes,2023-12-14 10:24:11.808,"{'project_name': 'DSE Quality', 'created_at': '2023-12-14 10:24:11.808000', 'time_spent': '04:00'}"
fschinner,2023-12-13,09:00:00,17:15:00,00:15,No,2023-12-13 18:48:38.592,"{'project_name': 'IT', 'created_at': '2023-12-13 18:48:38.592000', 'time_spent': '08:00'}"
khayeche,2023-12-11,14:00:00,20:00:00,,,2023-12-13 21:43:13.728,"{'project_name': 'DSE Jobs', 'created_at': '2023-12-13 21:43:13.728000', 'time_spent': '06:00'}"
msarac,2023-12-07,09:00:00,17:00:00,00:00,No,2023-12-14 10:09:20.160,"{'project_name': 'IT', 'created_at': '2023-12-14 10:09:20.160000', 'time_spent': '08:00'}"
msarac,2023-12-08,09:00:00,17:00:00,00:00,No,2023-12-14 10:10:20.640,"{'project_name': 'IT', 'created_at': '2023-12-14 10:10:20.640000', 'time_spent': '08:00'}"
msarac,2023-12-13,13:00:00,17:00:00,00:00,Yes,2023-12-14 10:11:04.704,"{'project_name': 'IT', 'created_at': '2023-12-14 10:11:04.704000', 'time_spent': '04:00'}"
msarac,2023-12-14,10:00:00,18:00:00,00:00,No,2023-12-14 10:11:46.176,"{'project_name': 'IT', 'created_at': '2023-12-14 10:11:46.176000', 'time_spent': '08:00'}"
mvadodaria,2023-12-14,09:00:00,17:00:00,00:30,No,2023-12-14 11:43:32.448,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-14 11:43:32.448000', 'time_spent': '07:30'}"
mvadodaria,2023-12-15,09:00:00,17:00:00,01:00,No,2023-12-14 11:44:05.280,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-14 11:44:05.280000', 'time_spent': '07:00'}"
mvadodaria,2023-12-13,09:00:00,17:00:00,01:00,No,2023-12-14 12:05:55.968,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-14 12:05:55.968000', 'time_spent': '07:00'}"
pstolpa2,2023-12-14,09:15:00,13:30:00,00:45,No,2023-12-14 13:33:49.824,"{'project_name': 'Sales B2B', 'created_at': '2023-12-14 13:33:49.824000', 'time_spent': '03:30'}"
mkajo,2023-12-14,11:30:00,16:00:00,00:30,Yes,2023-12-14 16:02:09.888,"{'project_name': 'DSE Quality', 'created_at': '2023-12-14 16:02:09.888000', 'time_spent': '04:00'}"
rtao,2023-12-14,08:00:00,17:00:00,01:00,No,2023-12-14 17:04:09.408,"{'project_name': 'IT', 'created_at': '2023-12-14 17:04:09.408000', 'time_spent': '08:00'}"
